,Date,Duration,Distance,id,Game Day,Days Before Match,Days After Match
1720,2018-08-24 00:00:00,113.24932861328101,10808.921005249,38,1,0,0
1729,2018-08-31 00:00:00,112.23666381835899,10582.0818481445,38,1,0,0
1750,2018-09-16 00:00:00,116.079330444336,13037.336578369099,38,1,0,0
1763,2018-09-22 00:00:00,112.816665649414,11000.2986907959,38,1,0,0
1759,2018-10-01 00:00:00,110.016670227051,11445.188369751,38,1,0,0
1725,2018-10-06 00:00:00,109.254669189453,10864.7457580566,38,1,0,0
1029,2018-10-21 00:00:00,97.0,9887.9440612793,38,1,0,0
1100,2018-10-28 00:00:00,110.0,11043.429138183601,38,1,0,0
1295,2018-11-04 00:00:00,110.0,11065.4268951416,38,1,0,0
569,2018-11-10 00:00:00,110.0,11176.472290039099,38,1,0,0
251,2018-11-25 00:00:00,110.0,10510.2594909668,38,1,0,0
654,2018-12-01 00:00:00,110.0,11113.426300048799,38,1,0,0
919,2018-12-04 00:00:00,112.816665649414,3607.8632545471205,38,1,0,0
204,2018-12-07 00:00:00,10.0,30.2232670783997,38,1,0,0
665,2018-12-15 00:00:00,110.0,10502.97265625,38,1,0,0
782,2018-12-21 00:00:00,110.0,12579.209716796899,38,1,0,0
1132,2019-01-06 00:00:00,110.0,10120.0605773926,38,1,0,0
387,2019-01-12 00:00:00,110.0,11538.416259765601,38,1,0,0
894,2019-01-18 00:00:00,96.0,9825.59429931641,38,1,0,0
685,2019-01-22 00:00:00,73.0,7549.933563232421,38,1,0,0
163,2019-01-26 00:00:00,72.0,7777.126800537109,38,1,0,0
1471,2019-01-29 00:00:00,110.0,11069.4698181152,38,1,0,0
1006,2019-02-02 00:00:00,25.0,2827.3635406494104,38,1,0,0
146,2019-02-15 00:00:00,110.0,12327.0655517578,38,1,0,0
8,2019-02-23 00:00:00,110.0,11029.710632324199,38,1,0,0
22,2019-03-09 00:00:00,110.0,10467.1806945801,38,1,0,0
1213,2019-03-17 00:00:00,110.0,10245.563232421899,38,1,0,0
50,2019-03-30 00:00:00,11.797333717346199,1450.68642861521,38,1,0,0
9,2019-04-02 00:00:00,110.0,11055.7306976318,38,1,0,0
522,2019-04-07 00:00:00,110.0,10916.3462219238,38,1,0,0
1640,2019-04-14 00:00:00,38.0,4295.01000213623,38,1,0,0
1622,2019-12-15 00:00:00,10.0,1308.38786697388,38,1,0,0
1349,2020-01-11 00:00:00,102.0,9844.931243896479,38,1,0,0
1780,2018-08-19 00:00:00,107.147338867188,11197.4796524048,39,1,0,0
1757,2018-08-24 00:00:00,113.24932861328101,10279.3233947754,39,1,0,0
1745,2018-08-31 00:00:00,112.23666381835899,10474.481262207,39,1,0,0
1767,2018-09-16 00:00:00,116.079330444336,12558.1259765625,39,1,0,0
1737,2018-09-22 00:00:00,112.087333679199,10479.6968994141,39,1,0,0
1731,2018-09-27 00:00:00,112.133331298828,11431.8250579834,39,1,0,0
1695,2018-10-01 00:00:00,108.163330078125,10385.3407758795,39,1,0,0
1735,2018-10-06 00:00:00,109.254669189453,9887.8361210027,39,1,0,0
1668,2018-10-21 00:00:00,110.0,12840.086608886699,39,1,0,0
1091,2018-10-28 00:00:00,110.0,10941.650604248,39,1,0,0
1015,2018-10-31 00:00:00,108.849998474121,11851.485107421899,39,1,0,0
722,2018-11-04 00:00:00,110.0,10693.9114990234,39,1,0,0
1117,2018-11-10 00:00:00,110.0,11031.3878173828,39,1,0,0
179,2018-11-25 00:00:00,110.0,11823.784812927199,39,1,0,0
1669,2018-12-01 00:00:00,110.0,11295.2488555908,39,1,0,0
1230,2018-12-04 00:00:00,52.8166656494141,3050.2316665649396,39,1,0,0
943,2018-12-07 00:00:00,110.0,11902.970916748,39,1,0,0
822,2018-12-15 00:00:00,110.0,12137.0995178223,39,1,0,0
447,2018-12-21 00:00:00,110.0,12321.533996582,39,1,0,0
1437,2019-01-06 00:00:00,110.0,10228.5141448975,39,1,0,0
1066,2019-01-09 00:00:00,110.0,10826.0783996582,39,1,0,0
658,2019-01-15 00:00:00,110.0,10927.5969696045,39,1,0,0
152,2019-01-18 00:00:00,110.0,9999.81781005859,39,1,0,0
710,2019-01-22 00:00:00,110.0,10357.9430847168,39,1,0,0
795,2019-01-26 00:00:00,110.0,10134.0423774719,39,1,0,0
1074,2019-01-29 00:00:00,110.0,12685.2283935547,39,1,0,0
928,2019-02-02 00:00:00,110.0,11788.9933776855,39,1,0,0
896,2019-02-09 00:00:00,110.0,11062.3671875,39,1,0,0
1359,2019-02-15 00:00:00,110.0,12378.2235717773,39,1,0,0
1677,2019-02-23 00:00:00,110.0,11813.659515380901,39,1,0,0
72,2019-03-03 00:00:00,110.0,10909.0366668701,39,1,0,0
247,2019-03-09 00:00:00,110.0,10675.3999633789,39,1,0,0
198,2019-03-17 00:00:00,110.0,12246.3526611328,39,1,0,0
368,2019-03-30 00:00:00,110.0,9699.23435974121,39,1,0,0
1170,2019-04-02 00:00:00,110.0,10513.9532470703,39,1,0,0
1032,2019-04-07 00:00:00,110.0,10320.6439666748,39,1,0,0
120,2019-04-14 00:00:00,110.0,9663.1262512207,39,1,0,0
1643,2019-04-25 00:00:00,110.0,10828.1687316895,39,1,0,0
1191,2019-04-28 00:00:00,110.0,10593.8161010742,39,1,0,0
381,2019-05-05 00:00:00,110.0,9835.528579711909,39,1,0,0
1560,2019-05-12 00:00:00,110.0,10875.9732055664,39,1,0,0
744,2019-05-18 00:00:00,110.0,10524.6246337891,39,1,0,0
44,2019-07-21 00:00:00,61.0,5802.29086303711,39,1,0,0
1503,2019-07-27 00:00:00,30.0,3846.16223144531,39,1,0,0
1265,2019-08-07 00:00:00,28.0,2910.9277839660604,39,1,0,0
1101,2019-08-18 00:00:00,79.0,7578.82740020752,39,1,0,0
1247,2019-08-24 00:00:00,18.033332824707,1375.66727638245,39,1,0,0
1248,2019-08-24 00:00:00,110.0,10393.6421508789,39,1,0,0
495,2019-08-31 00:00:00,110.0,10380.6767578125,39,1,0,0
233,2019-09-15 00:00:00,110.0,9811.44010925293,39,1,0,0
1655,2019-09-22 00:00:00,110.0,9828.94598388672,39,1,0,0
207,2019-09-25 00:00:00,110.0,10567.8732147217,39,1,0,0
1135,2019-09-28 00:00:00,110.0,9696.21362304688,39,1,0,0
173,2019-10-06 00:00:00,110.0,9930.057006835941,39,1,0,0
773,2019-10-31 00:00:00,17.1833324432373,1297.87773633003,39,1,0,0
774,2019-10-31 00:00:00,83.0,6717.544921875,39,1,0,0
906,2019-11-24 00:00:00,110.0,10459.055175781301,39,1,0,0
291,2019-12-01 00:00:00,110.0,10028.3115386963,39,1,0,0
307,2019-12-08 00:00:00,116.800003051758,13264.455352783201,39,1,0,0
